"District","week","TForce"
"Abu Ghraib",2293,4.813832596
"Abu Ghraib",2294,4.813832596
"Abu Ghraib",2295,4.813832596
"Abu Ghraib",2296,4.813832596
"Abu Ghraib",2297,2.406916298
"Abu Ghraib",2298,2.406916298
"Abu Ghraib",2299,2.406916298
"Abu Ghraib",2300,2.406916298
"Abu Ghraib",2301,2.406916298
"Abu Ghraib",2302,2.406916298
"Abu Ghraib",2303,2.406916298
"Abu Ghraib",2304,2.406916298
"Abu Ghraib",2305,2.406916298
"Abu Ghraib",2306,2.406916298
"Abu Ghraib",2307,2.406916298
"Abu Ghraib",2308,2.406916298
"Abu Ghraib",2309,2.406916298
"Abu Ghraib",2310,5.20435875
"Abu Ghraib",2311,5.20435875
"Abu Ghraib",2312,5.20435875
"Abu Ghraib",2313,5.20435875
"Abu Ghraib",2314,5.20435875
"Abu Ghraib",2315,5.20435875
"Abu Ghraib",2316,5.20435875
"Abu Ghraib",2317,5.20435875
"Abu Ghraib",2318,5.20435875
"Abu Ghraib",2319,4.799221073
"Abu Ghraib",2320,4.799221073
"Abu Ghraib",2321,4.799221073
"Abu Ghraib",2322,4.799221073
"Abu Ghraib",2323,3.99691564
"Abu Ghraib",2324,3.99691564
"Abu Ghraib",2325,3.99691564
"Abu Ghraib",2326,3.99691564
"Abu Ghraib",2327,3.99691564
"Abu Ghraib",2328,3.99691564
"Abu Ghraib",2329,3.99691564
"Abu Ghraib",2330,3.99691564
"Abu Ghraib",2331,3.99691564
"Abu Ghraib",2340,5.751316586
"Abu Ghraib",2341,5.751316586
"Abu Ghraib",2342,5.751316586
"Abu Ghraib",2343,5.751316586
"Abu Ghraib",2344,5.751316586
"Abu Ghraib",2345,8.03621995
"Abu Ghraib",2346,8.03621995
"Abu Ghraib",2347,8.03621995
"Abu Ghraib",2348,8.03621995
"Abu Ghraib",2349,7.056510673
"Abu Ghraib",2350,7.056510673
"Abu Ghraib",2351,7.056510673
"Abu Ghraib",2352,7.056510673
"Abu Ghraib",2353,7.056510673
"Abu Ghraib",2354,7.056510673
"Abu Ghraib",2355,7.056510673
"Abu Ghraib",2356,7.056510673
"Abu Ghraib",2357,7.056510673
"Abu Ghraib",2358,7.056510673
"Abu Ghraib",2359,7.056510673
"Abu Ghraib",2360,7.056510673
"Abu Ghraib",2361,7.056510673
"Abu Ghraib",2362,3.2483384
"Abu Ghraib",2363,3.2483384
"Abu Ghraib",2364,3.2483384
"Abu Ghraib",2365,3.2483384
"Abu Ghraib",2366,3.2483384
"Abu Ghraib",2367,3.2483384
"Abu Ghraib",2368,3.2483384
"Abu Ghraib",2369,3.2483384
"Abu Ghraib",2370,3.2483384
"Abu Ghraib",2371,3.2483384
"Abu Ghraib",2372,3.2483384
"Abu Ghraib",2373,3.2483384
"Abu Ghraib",2374,3.2483384
"Abu Ghraib",2375,3.2483384
"Abu Ghraib",2376,3.2483384
"Abu Ghraib",2377,3.2483384
"Abu Ghraib",2378,3.2483384
"Abu Ghraib",2379,3.2483384
"Abu Ghraib",2380,3.2483384
"Abu Ghraib",2381,3.2483384
"Abu Ghraib",2382,3.2483384
"Abu Ghraib",2383,3.2483384
"Abu Ghraib",2384,3.2483384
"Abu Ghraib",2385,3.2483384
"Abu Ghraib",2386,3.2483384
"Abu Ghraib",2387,3.2483384
"Abu Ghraib",2388,3.2483384
"Abu Ghraib",2389,3.2483384
"Abu Ghraib",2390,3.2483384
"Abu Ghraib",2391,3.2483384
"Abu Ghraib",2392,9.055613139
"Abu Ghraib",2393,9.055613139
"Abu Ghraib",2394,9.055613139
"Abu Ghraib",2395,9.055613139
"Abu Ghraib",2396,9.055613139
"Abu Ghraib",2397,9.055613139
"Abu Ghraib",2398,9.055613139
"Abu Ghraib",2399,9.055613139
"Abu Ghraib",2400,9.055613139
"Abu Ghraib",2401,6.64498999
"Abu Ghraib",2402,6.64498999
"Abu Ghraib",2403,6.64498999
"Abu Ghraib",2404,6.64498999
